text,label
"I love this community, everyone is so helpful",0
"Great job on the project, keep it up!",0
"Thanks for sharing this, really useful info",0
"Can someone help me debug this code please",0
"The weather is nice today, going for a walk",0
"This tutorial helped me understand recursion better",0
"Looking forward to the meetup this weekend",0
"Congratulations on your new job!",0
"I disagree with your point but I respect your view",0
"Please review my PR when you get a chance",0
"You are an idiot and should quit this forum",1
"Shut up nobody asked for your stupid opinion",1
"I will find you and hurt you",1
"Kill yourself, nobody likes you",1
"You are so ugly and worthless",1
"Get lost you piece of trash",1
"I hate people like you, disgusting",1
"You're a moron, this is the dumbest post ever",1
"Go die in a hole loser",1
"Stupid idiot, you don't deserve to be here",1
"This is a scam, send bitcoin to claim your prize now",1
"Click this link to win a free iPhone now!!!",1
"Buy cheap followers here www.spamlink.com",1
"Congratulations you won $1000, claim now at bit.ly/xyz",1
"Earn $5000 a week working from home, DM me",1
"You absolute waste of space, get out",1
"I'm going to hurt you if you post again",1
"Everyone in this group is trash and useless",1
"Nice work, this really clarified my doubts",0
"Can you share the dataset link for this project",0
"That was a well-written article, thanks for posting",0
"Excited to start this new course next week",0
"Please stop spamming this channel with links",1
"You people are all garbage and should leave",1
"This is harassment, I'm reporting your comment",1
"What a wonderful presentation, well done team",0
"I appreciate the detailed explanation, very clear",0
"Free money!!! Click here immediately www.fakeoffer.com",1
"Worthless human being, nobody cares about you",1
"Let's collaborate on this open source project",0
